ID,intRR,intRRstd,intRRmax,intRRmin,intRRmean,intRRvar
A00001,0.756666666666668,0.0950453483007887,0.82,0.35,0.742136752136752,0.00903361823361823
A00002,0.986666666666668,0.251867514775149,1.08333333333333,0.346666666666668,0.852450980392157,0.0634372449990097
A00003,0.736666666666668,0.0852502893275986,0.83,0.350000000000001,0.726544715447155,0.00726761183043927
A00004,0.898333333333332,0.181206103323593,1.34,0.716666666666667,0.9359375,0.0328356518817205
A00005,0.469999999999999,0.226260467931982,1.09,0.333333333333336,0.56815873015873,0.0511937993487995
A00006,1.01666666666667,0.259673626225042,1.10333333333333,0.333333333333332,0.877156862745098,0.0674303921568627
A00007,0.958333333333334,0.0528014667546574,1.04,0.853333333333332,0.957777777777778,0.00278799489144319
A00008,0.881666666666668,0.167250468210502,1.10333333333333,0.40666666666667,0.853952380952381,0.0279727191166322
A00009,0.628333333333334,0.114630190243661,0.890000000000001,0.43,0.630942028985507,0.013140080515298
A00010,0.916666666666671,0.0676680797503078,0.963333333333333,0.453333333333334,0.909846153846154,0.00457896901709402
A00011,0.849999999999998,0.0162852719975324,0.876666666666667,0.796666666666667,0.847714285714286,0.000265210084033614
A00012,0.905000000000001,0.0359196572115263,0.913333333333334,0.776666666666666,0.891979166666667,0.00129022177419355
A00013,0.643333333333334,0.0363087493836341,0.843333333333334,0.55,0.643768115942029,0.00131832528180355
A00014,1.08333333333333,0.0882211027077022,1.21333333333333,0.93,1.0825,0.00778296296296294
A00015,0.700000000000001,0.252942237651991,1.41333333333333,0.333333333333332,0.678620689655172,0.0639797755883963
A00016,0.723333333333336,0.0580840828778481,0.970000000000002,0.513333333333332,0.733166666666667,0.00337376068376073
A00017,0.403333333333332,0.0139697551219682,0.43,0.37,0.401441441441442,0.000195154058167757
A00018,1.12,0.143158310950856,1.17,0.433333333333334,1.0837037037037,0.020494301994302
A00019,0.816666666666666,0.0755478825316684,1.08333333333333,0.576666666666667,0.811884057971015,0.00570748255501877
A00020,0.753333333333334,0.0695018286694596,1.06,0.469999999999999,0.756315789473684,0.00483050418839892
A00021,0.941666666666666,0.100838776179414,0.970000000000002,0.38,0.9225,0.010168458781362
A00022,0.643333333333334,0.294245164449933,1.89666666666667,0.343333333333333,0.730243902439024,0.086580216802168
A00023,0.856666666666666,0.0997259030138227,0.886666666666667,0.393333333333334,0.823703703703704,0.00994525573192237
A00024,0.890000000000001,0.148308512681,0.943333333333333,0.356666666666666,0.845196078431373,0.0219954149336503
A00025,0.985,0.0529130953330713,1.01,0.71,0.976222222222222,0.00279979565772669
A00026,1.03333333333333,0.00868398080569866,1.04666666666667,1.01333333333333,1.0325,7.54115226337428e-05
A00027,0.646666666666667,0.123635175276523,0.906666666666666,0.496666666666668,0.656222222222222,0.0152856565656565
A00028,0.94,0.00772493202095231,0.96,0.923333333333333,0.93994708994709,5.96745747283343e-05
A00029,0.586666666666666,0.0134587637617823,0.623333333333333,0.57,0.5898,0.000181138321995464
A00030,1.14333333333334,0.337170196933911,1.41,0.413333333333333,0.950215053763441,0.113683741700452
A00031,0.699999999999999,0.0789129591999576,0.8,0.359999999999999,0.690952380952381,0.00622725512969417
A00032,0.913333333333334,0.259986524637322,1.04666666666667,0.366666666666667,0.774234234234234,0.0675929929929928
A00033,0.956666666666667,0.212931519350173,1.00666666666666,0.37,0.85352380952381,0.0453398319327731
A00034,1.03,0.25043158149781,1.46,0.346666666666668,0.973,0.0627159770114941
A00035,0.71,0.137562759883794,0.746666666666668,0.333333333333336,0.651851851851852,0.0189235129068463
A00036,0.863333333333333,0.0243848866629287,0.9,0.809999999999999,0.858725490196079,0.00059462269756388
A00037,0.663333333333334,0.0487759824001165,0.756666666666666,0.406666666666667,0.657472527472527,0.00237909645909647
A00038,1.07666666666667,0.175265440748461,1.43666666666667,0.540000000000001,1.05535714285714,0.0307179747207524
A00039,0.913333333333334,0.163308594292208,1.00666666666667,0.336666666666666,0.873636363636364,0.026669696969697
A00040,0.851666666666666,0.13924598537999,0.949999999999999,0.356666666666667,0.803055555555556,0.0193894444444444
A00041,0.77,0.193824163271266,1.19,0.333333333333334,0.765726495726496,0.0375678062678062
A00042,0.683333333333334,0.0123432711650525,0.716666666666665,0.66,0.683178294573644,0.000152356343054016
A00043,1.11,0.30818129769782,1.29333333333333,0.336666666666666,0.950320512820513,0.0949757122507122
A00044,0.836666666666666,0.0505962580223447,0.87,0.55,0.829619047619048,0.00255998132586368
A00045,0.975000000000001,0.0168416105745056,1.01666666666667,0.956666666666667,0.979,0.000283639846743299
A00046,0.646666666666666,0.0123008014174936,0.656666666666666,0.616666666666667,0.640217391304348,0.000151309715512614
A00047,0.620000000000001,0.0397809812254904,0.696666666666667,0.566666666666666,0.626950354609929,0.00158252646726282
A00048,0.903333333333333,0.0560552652383588,0.966666666666667,0.61,0.893737373737374,0.00314219276094276
A00049,0.953333333333333,0.126447886895584,0.983333333333333,0.436666666666667,0.915416666666667,0.0159890681003584
A00050,1.00333333333333,0.220088509514245,1.01666666666667,0.336666666666667,0.878484848484849,0.048438952020202
A00051,1.01,0.0197181354740389,1.09,0.98,1.00971264367816,0.000388804866572552
A00052,0.865000000000001,0.0793248483263398,1.00333333333333,0.666666666666666,0.856111111111111,0.00629243156199681
A00053,1.09666666666667,0.250255772927434,1.27666666666667,0.363333333333333,0.990493827160494,0.0626279518835074
A00054,0.793333333333333,0.215808989791196,1.49666666666667,0.593333333333333,0.843904761904762,0.0465735200746966
A00055,0.743333333333332,0.0851004507677087,0.766666666666667,0.376666666666667,0.715447154471545,0.00724208672086721
A00056,0.559999999999999,0.197312683829291,1.27333333333333,0.379999999999999,0.62822695035461,0.0389322951999178
A00057,0.901666666666666,0.180894959793086,0.956666666666667,0.396666666666667,0.825238095238095,0.032722986478542
A00058,0.653333333333329,0.100512859109236,0.91,0.366666666666667,0.648913043478261,0.0101028348463131
A00059,0.983333333333334,0.106664311735859,1.01333333333333,0.45,0.961451612903226,0.0113772753980845
A00060,0.766666666666666,0.0334709363817447,0.809999999999999,0.689999999999998,0.756010928961749,0.0011203035822708
A00061,0.77,0.163995604833051,0.98,0.333333333333334,0.721833333333334,0.0268945584045583
A00062,0.858333333333333,0.0442901361661507,0.98,0.793333333333333,0.863333333333333,0.00196161616161617
A00063,1.05833333333334,0.203846621669198,1.34333333333333,0.339999999999996,1.03529761904762,0.0415534451659453
